instance,cols,rows,colsPerRow,equalities,nzEqualities,percEqualities,percNzEqualities,inequalities,nzInequalities,nz,density,bin,genInt,integer,continuous,percInteger,percBin,nUnbounded1,percUnbounded1,nUnbounded2,percUnbounded2,rPartitioning,rPercPartitioning,rPacking,rPercPacking,rPartPacking,rPercRowsPartPacking,rCovering,rPercCovering,rCardinality,rPercCardinality,rKnapsack,rPercKnapsack,rIntegerKnapsack,rPercIntegerKnapsack,rInvKnapsack,rPercInvKnapsack,rSingleton,rPercSingleton,rAggre,rPercAggre,rPrec,rPercPrec,rVarBnd,rPercVarBnd,rBinPacking,rPercBinPacking,rMixedBin,rPercMixedBin,rGenInt,rPercGenInt,rFlowBin,rPercFlowBin,rFlowMx,rPercFlowMx,rNzRowsPartitioning,rNzPercRowsPartitioning,rNzRowsPacking,rNzPercRowsPacking,rNzrowsPartPacking,rNzpercRowsPartPacking,rNzRowsCovering,rNzPercRowsCovering,rNzRowsCardinality,rNzPercRowsCardinality,rNzRowsKnapsack,rNzPercRowsKnapsack,rNzRowsIntegerKnapsack,rNzPercRowsIntegerKnapsack,rNzRowsInvKnapsack,rNzPercRowsInvKnapsack,rNzRowsSingleton,rNzPercRowsSingleton,rNzRowsAggr,rNzPercRowsAggr,rNzRowsPrec,rNzPercRowsPrec,rNzRowsVarBnd,rNzPercRowsVarBnd,rNzRowsBinPacking,rNzPercRowsBinPacking,rNzRowsMixedBin,rNzPercRowsMixedBin,rNzRowsGenInt,rNzPercRowsGenInt,rNzRowsFlowBin,rNzPercRowsFlowBin,rNzRowsFlowMx,rNzPercRowsFlowMx,aMin,aMax,aAvg,aStdDev,aRatioLSA,aAllInt,aPercInt,aDiffVal,anShortInts,apercShortInts,objMin,objMax,objAvg,objStdDev,objRatioLSA,objAllInt,objPercInt,objDiffVal,objnShortInts,objpercShortInts,rhsMin,rhsMax,rhsAvg,rhsStdDev,rhsRatioLSA,rhsAllInt,rhsPercInt,rhsDiffVal,rhsnShortInts,rhspercShortInts,rowNzMin,rowNzMax,rowNzAvg,rowNzStdDev,colNzMin,colNzMax,colNzAvg,colNzStdDev,rowsLess4Nz,rowsLess8Nz,rowsLess16Nz,rowsLess32Nz,rowsLess64Nz,rowsLess128Nz,rowsLess256Nz,rowsLess512Nz,rowsLess1024Nz,percRowsLess4Nz,percRowsLess8Nz,percRowsLess16Nz,percRowsLess32Nz,percRowsLess64Nz,percRowsLess128Nz,percRowsLess256Nz,percRowsLess512Nz,percRowsLess1024Nz,rowsLeast4Nz,rowsLeast8Nz,rowsLeast16Nz,rowsLeast32Nz,rowsLeast64Nz,rowsLeast128Nz,rowsLeast256Nz,rowsLeast512Nz,rowsLeast1024Nz,rowsLeast2048Nz,rowsLeast4096Nz,percRowsLeast4Nz,percRowsLeast8Nz,percRowsLeast16Nz,percRowsLeast32Nz,percRowsLeast64Nz,percRowsLeast128Nz,percRowsLeast256Nz,percRowsLeast512Nz,percRowsLeast1024Nz,percRowsLeast2048Nz,percRowsLeast4096Nz,colsLess4Nz,colsLess8Nz,colsLess16Nz,colsLess32Nz,colsLess64Nz,colsLess128Nz,colsLess256Nz,colsLess512Nz,colsLess1024Nz,percColsLess4Nz,percColsLess8Nz,percColsLess16Nz,percColsLess32Nz,percColsLess64Nz,percColsLess128Nz,percColsLess256Nz,percColsLess512Nz,percColsLess1024Nz,colsLeast4Nz,colsLeast8Nz,colsLeast16Nz,colsLeast32Nz,colsLeast64Nz,colsLeast128Nz,colsLeast256Nz,colsLeast512Nz,colsLeast1024Nz,colsLeast2048Nz,colsLeast4096Nz,percColsLeast4Nz,percColsLeast8Nz,perccolsLeast16Nz,perccolsLeast32Nz,perccolsLeast64Nz,perccolsLeast128Nz,perccolsLeast256Nz,perccolsLeast512Nz,perccolsLeast1024Nz,perccolsLeast2048Nz,perccolsLeast4096Nz
10teams,2025.0,230.0,8.80435,135,6075.0,0,50.0,95.0,6075.0,12150.0,2.6087,1800.0,0,1800.0,225.0,88.8889,88.8889,0,0.0,0,0.0,80,34.7826,40,17.3913,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,110.0,47.8261,0,0.0,0,0,0,0,3600.0,29.6296,1800.0,14.8148,5400.0,44.4444,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,6750.0,55.5556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1,0.0,0.0,2.0,86.0,21.3333,15.6985,43.0,0,0.0,76,0,0.0,1.0,2.0,1.21739,0.412471,2.0,0,0.0,2,0,0.0,45,81,52.8261,14.849,6,6,0,6.0,0.0,0.0,0.0,0.0,180.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,78.2609,100.0,100.0,100.0,100.0,230.0,230.0,230,230,50,0,0,0,0,0,0,100.0,100.0,100.0,100.0,21.7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2025.0,0.0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116_205_1262_66,258915.0,106427.0,2.4327900000000002,1262,171415.0,0,1.4611,105165.0,11560500.0,11731900.0,0.0425754,258915.0,0,258915.0,0.0,100.0,100.0,0,0.0,0,0.0,1262,1.18579,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,171415.0,1.4611,0.0,0.0,171415.0,1.4611,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.982072,0.18850699999999998,1.0,0,0.8964030000000001,2,105165.0,0.8964030000000001,0.0,1.0,0.0007917660000000001,0.028127199999999998,1.0,0,0.0,2,0,0.0,0.0,1.0,0.0118579,0.10824600000000001,1.0,0,0.0,2,0,0.0,81,159,110.234,7.03682,0,513,0,63.5237,0.0,0.0,0.0,0.0,0.0,105161.0,106427.0,106427.0,106427.0,0.0,0.0,0.0,0.0,0.0,98.8105,100.0,100.0,100.0,106427.0,106427.0,106427,106427,106427,1415,0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,1.32955,0.0,0.0,0.0,0.0,0.0,89505.0,93331.0,97017.0,114011.0,173682.0,249265.0,258710.0,258710.0,258915.0,34.5693,36.047,37.4706,44.0341,67.0807,96.2729,99.9208,99.9208,100.0,169690.0,165988.0,162577,145988,86324,10172,205,205,0,0,0,65.5389,64.1091,62.7916,56.3845,33.3407,3.9287,0.07917660000000001,0.07917660000000001,0.0,0.0,0.0
121_147_1345_33,197862.0,83077.0,2.38167,1345,66155.0,0,2.11422,81732.0,3062900.0,3129060.0,0.019035800000000002,197862.0,0,197862.0,0.0,100.0,100.0,0,0.0,0,0.0,1345,1.6189799999999999,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,66155.0,2.11422,0.0,0.0,66155.0,2.11422,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.947759,0.318986,1.0,0,2.61203,2,81732.0,2.61203,0.0,1.0,0.000742942,0.0272468,1.0,0,0.0,2,0,0.0,0.0,1.0,0.0161898,0.12620499999999998,1.0,0,0.0,2,0,0.0,20,68,37.6645,5.32029,0,556,0,32.2409,0.0,0.0,0.0,13602.0,83066.0,83077.0,83077.0,83077.0,83077.0,0.0,0.0,0.0,16.3728,99.9868,100.0,100.0,100.0,100.0,83077.0,83077.0,83077,73329,15,0,0,0,0,0,0,100.0,100.0,100.0,88.2663,0.018055500000000002,0.0,0.0,0.0,0.0,0.0,0.0,132132.0,133261.0,135476.0,144059.0,187309.0,197715.0,197715.0,197715.0,197862.0,66.7799,67.3505,68.4699,72.8078,94.6665,99.9257,99.9257,99.9257,100.0,66013.0,64791.0,62860,54956,11144,147,147,147,0,0,0,33.3632,32.7455,31.7696,27.7749,5.63221,0.0742942,0.0742942,0.0742942,0.0,0.0,0.0
121_147_1345_33_pp,66302.0,34569.0,1.9179599999999999,1345,66155.0,0,4.93521,33224.0,1274320.0,1340470.0,0.05848490000000001,66302.0,0,66302.0,0.0,100.0,100.0,0,0.0,0,0.0,1345,3.89077,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,66155.0,4.93521,0.0,0.0,66155.0,4.93521,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.9504290000000001,0.31094099999999997,1.0,0,2.47853,2,33224.0,2.47853,0.0,1.0,0.00221713,0.0470342,1.0,0,0.0,2,0,0.0,0.0,1.0,0.038907699999999996,0.193375,1.0,0,0.0,2,0,0.0,21,68,38.7766,5.48516,2,253,0,23.671999999999997,0.0,0.0,0.0,4085.0,34558.0,34569.0,34569.0,34569.0,34569.0,0.0,0.0,0.0,11.8169,99.9682,100.0,100.0,100.0,100.0,34569.0,34569.0,34569,31762,15,0,0,0,0,0,0,100.0,100.0,100.0,91.88,0.0433915,0.0,0.0,0.0,0.0,0.0,0.0,1869.0,4539.0,21909.0,62629.0,66155.0,66155.0,66302.0,66302.0,66302.0,2.81892,6.84595,33.0443,94.4602,99.7783,99.7783,100.0,100.0,100.0,65009.0,62565.0,47800,4640,147,147,0,0,0,0,0,98.0498,94.3637,72.0944,6.99828,0.22171300000000002,0.22171300000000002,0.0,0.0,0.0,0.0,0.0
22433,429.0,198.0,2.16667,198,3408.0,0,100.0,0.0,0.0,3408.0,4.01215,231.0,0,231.0,198.0,53.8462,53.8462,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,198.0,100.0,0,0.0,0,0,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,3408.0,100.0,0.0,0.0,0.0,0.0,252.0,7.3943699999999986,-1.0,1055.0,35.8597,143.474,1055.0,0,7.92254,202,270.0,7.92254,0.0,1.0,0.0023309999999999997,0.048224199999999995,1.0,0,0.0,2,0,0.0,0.0,70.0,4.40404,13.0596,70.0,0,0.0,5,0,0.0,4,232,17.2121,46.0374,1,22,0,10.357000000000001,130.0,166.0,166.0,188.0,188.0,188.0,198.0,198.0,198.0,65.6566,83.8384,83.8384,94.9495,94.9495,94.9495,100.0,100.0,100.0,198.0,32.0,32,10,10,10,0,0,0,0,0,100.0,16.1616,16.1616,5.05051,5.05051,5.05051,0.0,0.0,0.0,0.0,0.0,198.0,198.0,399.0,429.0,429.0,429.0,429.0,429.0,429.0,46.1538,46.1538,93.007,100.0,100.0,100.0,100.0,100.0,100.0,231.0,231.0,58,0,0,0,0,0,0,0,0,53.8462,53.8462,13.5198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23588,368.0,137.0,2.68613,137,3701.0,0,100.0,0.0,0.0,3701.0,7.34092,231.0,0,231.0,137.0,62.7717,62.7717,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,137.0,100.0,0,0.0,0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,3701.0,100.0,0.0,0.0,0.0,0.0,140.0,3.7827599999999997,-4.0,1131.0,31.2718,132.175,1131.0,0,8.15996,205,302.0,8.15996,0.0,1.0,0.00271739,0.0520577,1.0,0,0.0,2,0,0.0,-21.0,38.0,3.8321199999999997,9.25437,38.0,0,0.729927,6,1,0.729927,4,232,27.0146,59.3705,1,23,0,12.350999999999999,78.0,98.0,102.0,124.0,124.0,125.0,137.0,137.0,137.0,56.9343,71.5328,74.4526,90.5109,90.5109,91.2409,100.0,100.0,100.0,137.0,39.0,39,13,13,12,0,0,0,0,0,100.0,28.4672,28.4672,9.48905,9.48905,8.75912,0.0,0.0,0.0,0.0,0.0,137.0,137.0,303.0,368.0,368.0,368.0,368.0,368.0,368.0,37.2283,37.2283,82.337,100.0,100.0,100.0,100.0,100.0,100.0,231.0,231.0,92,0,0,0,0,0,0,0,0,62.7717,62.7717,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2club200v15p5scn,200.0,17013.0,0.011755700000000001,0,0.0,0,0.0,17013.0,104811.0,104811.0,3.08032,200.0,0,200.0,0.0,100.0,100.0,0,0.0,0,0.0,0,0.0,246,1.44595,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,492.0,0.469416,492.0,0.469416,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.350717,0.9364809999999999,1.0,0,67.5359,2,70785.0,67.5359,-1.0,2.225069999999996e-308,-1.0,0.0,1.0,1,100.0,1,200,100.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1,0,0.0,2,16,6.16064,1.98291,259,984,0,536.114,3507.0,14955.0,17013.0,17013.0,17013.0,17013.0,17013.0,17013.0,17013.0,20.6136,87.9034,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15706.0,4013.0,1,0,0,0,0,0,0,0,0,92.3176,23.5878,0.00587786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,100.0,200.0,200.0,200,200,200,200,200,103,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.5,0.0,0.0,0.0
30_70_45_05_100,10772.0,12050.0,0.893942,0,0.0,0,0.0,12050.0,45889.0,45889.0,0.0353529,10771.0,0,10771.0,1.0,99.9907,99.9907,0,0.0,0,0.0,0,0.0,0,0.0,0,0,80,0.6639,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.5338970000000001,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.556887,0.8305879999999999,1.0,0,22.1556,2,10167.0,22.1556,-5356.0,4.0,1.8821,51.6379,5356.0,0,0.00928333,5,1,0.00928333,-0.0,3.0,0.444896,1.04987,3.0,0,0.0,4,0,0.0,2,31,3.8082199999999995,4.83239,0,7,0,4.38295,10331.0,10650.0,11375.0,12050.0,12050.0,12050.0,12050.0,12050.0,12050.0,85.7344,88.3817,94.3983,100.0,100.0,100.0,100.0,100.0,100.0,1801.0,1483.0,799,0,0,0,0,0,0,0,0,14.9461,12.3071,6.6307100000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5593.0,10772.0,10772.0,10772.0,10772.0,10772.0,10772.0,10772.0,10772.0,51.9216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7893.0,0.0,0,0,0,0,0,0,0,0,0,73.2733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30n20b8,18380.0,576.0,31.9097,90,54928.0,0,50.0684,486.0,54778.0,109706.0,1.03624,18318.0,62,18380.0,0.0,100.0,99.6627,0,0.0,0,0.0,30,5.20833,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,546,94.7917,0,0,0,0,18318.0,16.6974,0.0,0.0,18318.0,16.6974,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,91388.0,83.3026,0.0,0.0,0.0,0.0,-1.0,224.0,37.5192,62.0328,224.0,0,0.49769399999999997,225,546.0,0.49769399999999997,0.0,100.0,0.00821545,0.827958,1.96078,0,0.0,3,0,0.0,0.0,1.0,0.052083300000000006,0.22219499999999998,1.0,0,0.0,2,0,0.0,2,640,190.46200000000002,194.378,1,213,0,7.31151,62.0,65.0,76.0,104.0,151.0,242.0,486.0,498.0,576.0,10.7639,11.2847,13.1944,18.0556,26.2153,42.0139,84.375,86.4583,100.0,516.0,511.0,504,474,426,334,90,78,0,0,0,89.5833,88.7153,87.5,82.2917,73.9583,57.9861,15.625,13.5417,0.0,0.0,0.0,10065.0,13538.0,18378.0,18378.0,18378.0,18378.0,18380.0,18380.0,18380.0,54.7606,73.6561,99.9891,99.9891,99.9891,99.9891,100.0,100.0,100.0,8325.0,6868.0,2,2,2,2,0,0,0,0,0,45.2938,37.3667,0.0108814,0.0108814,0.0108814,0.0108814,0.0,0.0,0.0,0.0,0.0
50v-10,2013.0,233.0,8.63948,50,732.0,0,26.6667,183.0,2013.0,2745.0,0.585252,1464.0,183,1647.0,366.0,81.8182,72.7273,366,18.1818,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,233.0,100.0,183,78.5408,0,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,2745.0,100.0,2013.0,73.3333,0.0,0.0,732.0,26.6667,-216.0,1.0,-43.4667,62.0826,216.0,0,73.3333,11,2013.0,73.3333,0.0,721.62,111.336,130.628,437.345,0,0.0,748,0,0.0,-97.0,1347.0,0.0,90.5909,122.455,0,10.7296,22,25,10.7296,8,24,11.7811,2.4335299999999997,1,3,0,1.5667,0.0,3.0,218.0,233.0,233.0,233.0,233.0,233.0,233.0,0.0,1.28755,93.5622,100.0,100.0,100.0,100.0,100.0,100.0,233.0,233.0,18,0,0,0,0,0,0,0,0,100.0,100.0,7.72532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
